"","Year","Month","DayofMonth","DayOfWeek","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","TaxiIn","TaxiOut","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","Airline"
"19",2008,"January",3,"Thursday",74,80,60,77,83,"LAS","ABQ",4,10,7,0,0,0,70,"Southwest Airlines"
"20",2008,"January",3,"Thursday",83,90,65,50,57,"LAS","ABQ",3,15,50,0,0,0,0,"Southwest Airlines"
"21",2008,"January",3,"Thursday",256,275,243,78,97,"LAS","ALB",3,10,8,0,0,0,70,"Southwest Airlines"
"22",2008,"January",3,"Thursday",146,155,127,54,63,"LAS","AUS",5,14,23,0,0,0,31,"Southwest Airlines"
"23",2008,"January",3,"Thursday",275,285,253,49,59,"LAS","BDL",9,13,19,0,0,0,30,"Southwest Airlines"
"24",2008,"January",3,"Thursday",196,210,178,31,45,"LAS","BNA",6,12,2,0,0,0,29,"Southwest Airlines"
"25",2008,"January",3,"Thursday",204,210,183,20,26,"LAS","BNA",6,15,18,0,0,0,2,"Southwest Airlines"
"26",2008,"January",3,"Thursday",196,205,177,60,69,"LAS","BNA",5,14,0,0,22,0,38,"Southwest Airlines"
"27",2008,"January",3,"Thursday",98,110,73,24,36,"LAS","BOI",3,22,9,0,0,0,15,"Southwest Airlines"
"28",2008,"January",3,"Thursday",66,60,46,69,63,"LAS","BUR",3,17,17,0,6,0,46,"Southwest Airlines"
"29",2008,"January",3,"Thursday",64,60,48,55,51,"LAS","BUR",3,13,4,0,4,0,47,"Southwest Airlines"
"30",2008,"January",3,"Thursday",260,265,244,18,23,"LAS","BWI",6,10,18,0,0,0,0,"Southwest Airlines"
"31",2008,"January",3,"Thursday",245,260,230,32,47,"LAS","BWI",5,10,7,0,0,0,25,"Southwest Airlines"
"32",2008,"January",3,"Thursday",96,110,77,63,77,"LAS","DEN",6,13,0,0,7,0,56,"Southwest Airlines"
"33",2008,"January",3,"Thursday",110,115,88,112,117,"LAS","DEN",8,14,0,0,0,0,112,"Southwest Airlines"
"34",2008,"January",3,"Thursday",96,110,78,16,30,"LAS","DEN",6,12,7,0,0,0,9,"Southwest Airlines"
"35",2008,"January",3,"Thursday",109,120,80,16,27,"LAS","DEN",8,21,2,0,0,0,14,"Southwest Airlines"
"36",2008,"January",3,"Thursday",135,150,116,50,65,"LAS","GEG",4,15,50,0,0,0,0,"Southwest Airlines"
"37",2008,"January",3,"Thursday",159,175,143,33,49,"LAS","HOU",3,13,12,0,0,0,21,"Southwest Airlines"
"38",2008,"January",3,"Thursday",163,165,150,39,41,"LAS","HOU",4,9,17,0,0,0,22,"Southwest Airlines"
"39",2008,"January",3,"Thursday",252,260,232,22,30,"LAS","IAD",7,13,6,0,0,0,16,"Southwest Airlines"
"40",2008,"January",3,"Thursday",208,215,179,32,39,"LAS","IND",8,21,32,0,0,0,0,"Southwest Airlines"
"41",2008,"January",3,"Thursday",295,285,269,62,52,"LAS","ISP",4,22,13,0,10,0,39,"Southwest Airlines"
"42",2008,"January",3,"Thursday",60,65,42,18,23,"LAS","LAX",6,12,0,0,0,12,6,"Southwest Airlines"
"43",2008,"January",3,"Thursday",61,60,42,17,16,"LAS","LAX",7,12,16,0,1,0,0,"Southwest Airlines"
"44",2008,"January",3,"Thursday",68,65,41,64,61,"LAS","LAX",9,18,61,0,3,0,0,"Southwest Airlines"
"45",2008,"January",3,"Thursday",68,65,47,18,15,"LAS","LAX",5,16,10,0,3,0,5,"Southwest Airlines"
"46",2008,"January",3,"Thursday",72,70,43,30,28,"LAS","LAX",7,22,0,0,2,0,28,"Southwest Airlines"
"47",2008,"January",3,"Thursday",65,65,44,38,38,"LAS","LAX",11,10,13,0,0,0,25,"Southwest Airlines"
"48",2008,"January",3,"Thursday",114,120,90,41,47,"LAS","LBB",4,20,25,0,0,0,16,"Southwest Airlines"
"49",2008,"January",3,"Thursday",156,165,131,64,73,"LAS","MCI",7,18,14,0,0,0,50,"Southwest Airlines"
"50",2008,"January",3,"Thursday",143,165,130,36,58,"LAS","MCI",5,8,4,0,0,0,32,"Southwest Airlines"
"51",2008,"January",3,"Thursday",157,170,130,59,72,"LAS","MCI",4,23,59,0,0,0,0,"Southwest Airlines"
"52",2008,"January",3,"Thursday",192,200,171,26,34,"LAS","MDW",8,13,4,0,0,0,22,"Southwest Airlines"
"53",2008,"January",3,"Thursday",187,200,168,77,90,"LAS","MDW",8,11,13,0,0,0,64,"Southwest Airlines"
"54",2008,"January",3,"Thursday",185,200,171,72,87,"LAS","MDW",7,7,60,0,0,0,12,"Southwest Airlines"
"55",2008,"January",3,"Thursday",193,215,177,22,44,"LAS","MDW",6,10,4,0,0,0,18,"Southwest Airlines"
"56",2008,"January",3,"Thursday",182,195,166,25,38,"LAS","MSY",4,12,3,0,0,0,22,"Southwest Airlines"
"57",2008,"January",3,"Thursday",86,95,72,115,124,"LAS","OAK",5,9,21,0,0,0,94,"Southwest Airlines"
"58",2008,"January",3,"Thursday",94,100,76,40,46,"LAS","OAK",3,15,2,0,0,0,38,"Southwest Airlines"
"59",2008,"January",3,"Thursday",100,90,78,53,43,"LAS","OAK",4,18,14,0,10,0,29,"Southwest Airlines"
"60",2008,"January",3,"Thursday",92,90,78,53,51,"LAS","OAK",4,10,11,0,2,0,40,"Southwest Airlines"
"61",2008,"January",3,"Thursday",94,90,81,19,15,"LAS","OAK",3,10,15,0,4,0,0,"Southwest Airlines"
"62",2008,"January",3,"Thursday",144,160,132,64,80,"LAS","OMA",3,9,38,0,0,0,26,"Southwest Airlines"
"63",2008,"January",3,"Thursday",46,55,34,21,30,"LAS","ONT",4,8,3,0,0,0,18,"Southwest Airlines"
"64",2008,"January",3,"Thursday",50,55,36,27,32,"LAS","ONT",3,11,27,0,0,0,0,"Southwest Airlines"
"65",2008,"January",3,"Thursday",50,50,36,58,58,"LAS","ONT",5,9,0,0,20,0,38,"Southwest Airlines"
"66",2008,"January",3,"Thursday",61,55,36,21,15,"LAS","ONT",4,21,0,0,6,0,15,"Southwest Airlines"
"67",2008,"January",3,"Thursday",52,55,32,35,38,"LAS","ONT",3,17,0,0,0,0,35,"Southwest Airlines"
"68",2008,"January",3,"Thursday",51,55,37,24,28,"LAS","ONT",4,10,4,0,0,0,20,"Southwest Airlines"
"69",2008,"January",3,"Thursday",251,270,237,43,62,"LAS","ORF",4,10,13,0,0,0,30,"Southwest Airlines"
"70",2008,"January",3,"Thursday",129,140,112,43,54,"LAS","PDX",3,14,12,0,0,0,31,"Southwest Airlines"
"71",2008,"January",3,"Thursday",269,290,245,21,42,"LAS","PHL",5,19,18,0,0,0,3,"Southwest Airlines"
"72",2008,"January",3,"Thursday",80,70,49,17,7,"LAS","PHX",7,24,0,0,10,0,7,"Southwest Airlines"
"73",2008,"January",3,"Thursday",64,70,49,21,27,"LAS","PHX",5,10,2,0,0,0,19,"Southwest Airlines"
"74",2008,"January",3,"Thursday",62,65,48,84,87,"LAS","PHX",4,10,6,0,0,0,78,"Southwest Airlines"
"75",2008,"January",3,"Thursday",69,65,46,28,24,"LAS","PHX",8,15,9,0,4,0,15,"Southwest Airlines"
"76",2008,"January",3,"Thursday",57,60,43,43,46,"LAS","PHX",5,9,2,0,0,0,41,"Southwest Airlines"
"77",2008,"January",3,"Thursday",54,60,40,54,60,"LAS","PHX",3,11,2,0,0,0,52,"Southwest Airlines"
"78",2008,"January",3,"Thursday",64,65,46,30,31,"LAS","PHX",5,13,16,0,0,0,14,"Southwest Airlines"
"79",2008,"January",3,"Thursday",55,65,43,65,75,"LAS","PHX",4,8,48,0,0,0,17,"Southwest Airlines"
"80",2008,"January",3,"Thursday",68,75,49,20,27,"LAS","PHX",5,14,2,0,0,0,18,"Southwest Airlines"
"81",2008,"January",3,"Thursday",229,245,210,24,40,"LAS","PIT",6,13,10,0,0,0,14,"Southwest Airlines"
"82",2008,"January",3,"Thursday",293,290,266,33,30,"LAS","PVD",4,23,6,0,3,0,24,"Southwest Airlines"
"83",2008,"January",3,"Thursday",74,85,60,35,46,"LAS","RNO",4,10,11,0,0,0,24,"Southwest Airlines"
"84",2008,"January",3,"Thursday",66,80,54,19,33,"LAS","RNO",4,8,9,0,0,0,10,"Southwest Airlines"
"85",2008,"January",3,"Thursday",83,80,55,32,29,"LAS","RNO",7,21,26,0,3,0,3,"Southwest Airlines"
"86",2008,"January",3,"Thursday",76,75,61,34,33,"LAS","RNO",3,12,8,0,1,0,25,"Southwest Airlines"
"87",2008,"January",3,"Thursday",79,75,57,19,15,"LAS","RNO",4,18,6,0,4,0,9,"Southwest Airlines"
"88",2008,"January",3,"Thursday",74,75,56,56,57,"LAS","RNO",4,14,0,0,0,0,56,"Southwest Airlines"
"89",2008,"January",3,"Thursday",70,85,54,25,40,"LAS","RNO",4,12,0,0,1,0,24,"Southwest Airlines"
"90",2008,"January",3,"Thursday",84,80,57,22,18,"LAS","RNO",4,23,8,0,4,0,10,"Southwest Airlines"
"91",2008,"January",3,"Thursday",72,80,56,17,25,"LAS","RNO",4,12,9,0,0,0,8,"Southwest Airlines"
"92",2008,"January",3,"Thursday",60,60,45,50,50,"LAS","SAN",3,12,21,0,0,0,29,"Southwest Airlines"
"93",2008,"January",3,"Thursday",68,70,46,16,18,"LAS","SAN",4,18,4,0,0,0,12,"Southwest Airlines"
"94",2008,"January",3,"Thursday",66,60,44,65,59,"LAS","SAN",4,18,5,0,6,0,54,"Southwest Airlines"
"95",2008,"January",3,"Thursday",60,60,49,42,42,"LAS","SAN",3,8,17,0,0,0,25,"Southwest Airlines"
"96",2008,"January",3,"Thursday",61,65,48,34,38,"LAS","SAN",3,10,9,0,0,0,25,"Southwest Airlines"
"97",2008,"January",3,"Thursday",74,60,47,72,58,"LAS","SAN",3,24,0,0,19,0,53,"Southwest Airlines"
"98",2008,"January",3,"Thursday",58,60,45,51,53,"LAS","SAN",3,10,12,0,0,0,39,"Southwest Airlines"
"99",2008,"January",3,"Thursday",219,215,192,25,21,"LAS","SDF",9,18,18,0,4,0,3,"Southwest Airlines"
"100",2008,"January",3,"Thursday",99,95,75,35,31,"LAS","SFO",3,21,0,0,22,0,13,"Southwest Airlines"
